Date,State,Confirmed ,Dead,Recovered,Active
#date,#loc+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active
06/09/2020,Galmudug State,100,0,1,99
06/09/2020,Hir-Shabelle State,21,1,0,20
06/05/2020,Banadir,1285,52,314,919
06/05/2020,Somaliland,384,19,51,314
06/05/2020,Puntland,194,6,19,169
06/05/2020,Jubaland State,142,0,32,110
06/05/2020,South West State,111,1,1,109
06/05/2020,Galmudug State,68,0,1,67
06/05/2020,Hir-Shabelle State,20,1,0,19
06/04/2020,Banadir,1253,52,314,855
06/04/2020,Somaliland,376,19,48,294
06/04/2020,Puntland,192,6,19,167
06/04/2020,Jubaland State,141,0,23,134
06/04/2020,South West State,110,1,1,108
06/04/2020,Galmudug State,65,0,1,64
06/04/2020,Hir-Shabelle State,9,1,0,8
06/03/2020,Banadir,1219,52,312,855
06/03/2020,Somaliland,358,19,45,294
06/03/2020,Puntland,192,6,19,167
06/03/2020,Jubaland State,136,0,2,134
06/03/2020,South West State,110,1,1,108
06/03/2020,Galmudug State,65,0,1,64
06/03/2020,Hir-Shabelle State,9,1,0,8
06/01/2020,Banadir,1177,53,294,830
06/01/2020,Somaliland,304,18,34,252
06/01/2020,Puntland,180,5,16,159
06/01/2020,Jubaland State,131,0,2,129
06/01/2020,South West State,110,1,1,108
06/01/2020,Galmudug State,65,0,1,64
06/01/2020,Hir-Shabelle State,9,1,0,8
05/29/2020,Banadir,1161,50,268,843
05/29/2020,Somaliland,257,15,28,214
05/29/2020,Puntland,178,5,11,162
05/29/2020,South West State,110,1,1,108
05/29/2020,Jubaland State,99,0,2,97
05/29/2020,Galmudug State,14,0,0,14
05/29/2020,Hir-Shabelle State,9,1,0,8
05/28/2020,Banadir,1126,43,225,855
05/28/2020,Somaliland,225,16,21,180
05/28/2020,Puntland,170,6,7,148
05/28/2020,Jubaland State,99,0,0,99
05/28/2020,South West State,88,1,0,87
05/28/2020,Galmudug State,14,0,0,14
05/28/2020,Hir-Shabelle State,9,1,0,8
05/27/2020,Banadir,1123,43,225,855
05/27/2020,Galmudug State,14,0,0,14
05/27/2020,Hir-Shabelle State,9,1,0,8
05/27/2020,Jubaland State,99,0,0,99
05/27/2020,Puntland,161,6,7,148
05/27/2020,Somaliland,217,16,21,180
05/27/2020,South West State,88,1,0,87
05/26/2020,Banadir,1118,43,211,864
05/26/2020,Galmudug State,14,0,0,14
05/26/2020,Hir-Shabelle State,8,1,0,7
05/26/2020,Jubaland State,98,0,0,98
05/26/2020,Puntland,161,6,7,148
05/26/2020,Somaliland,203,15,19,169
05/26/2020,South West State,87,1,0,86
05/25/2020,Banadir,1099,42,187,870
05/25/2020,Galmudug State,12,0,0,12
05/25/2020,Hir-Shabelle State,8,1,0,7
05/25/2020,Jubaland State,98,0,0,98
05/25/2020,Puntland,163,6,7,150
05/25/2020,Somaliland,131,11,10,110
05/25/2020,South West State,83,1,0,82
05/21/2020,Banadir,1080,42,167,871
05/21/2020,Galmudug State,12,0,0,12
05/21/2020,Hir-Shabelle State,6,1,0,5
05/21/2020,Jubaland State,98,0,2,96
05/21/2020,Puntland,161,6,9,146
05/21/2020,Somaliland,131,11,10,110
05/21/2020,South West State,84,1,0,83
05/20/2020,Banadir,1063,42,161,860
05/20/2020,Galmudug State,12,0,0,12
05/20/2020,Hir-Shabelle State,8,1,0,7
05/20/2020,Jubaland State,81,0,2,79
05/20/2020,Puntland,157,6,7,144
05/20/2020,Somaliland,129,9,8,112
05/20/2020,South West State,84,1,0,84
05/19/2020,Banadir,1048,39,145,864
05/19/2020,Galmudug State,12,0,0,12
05/19/2020,Hir-Shabelle State,8,1,2,5
05/19/2020,Jubaland State,52,0,0,52
05/19/2020,Puntland,137,7,2,128
05/19/2020,Somaliland,121,9,8,104
05/19/2020,South West State,77,1,0,76
