admin2,date,home,mobility_reduction,other_locations,r0_reduction,school,work
0104,2020-05-22,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-23,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-24,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-25,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-26,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-27,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-28,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-29,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-30,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-05-31,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-06-01,1.05,1.0,0.85,1.0,0.05,1.0
0104,2020-06-02,1.05,1.0,0.85,1.0,0.05,1.0
