Date,Département,Cumulative cases,New cases (24h),Cumulative Deaths,New deaths (24h) Rate Of,Case fatality rate,Source
#date,#adm1+name,#affected+infected+confirmed+total,#affected+infected+confirmed+new,#affected+infected+dead+total,#affected+infected+dead+new,,
18-05-2020,Nord,22,0,1,0,4.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_18-05-2020.pdf
18-05-2020,Nord-Est,18,0,2,0,11.1%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_18-05-2020.pdf
18-05-2020,Sud-Est,14,0,1,0,7.1%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_18-05-2020.pdf
18-05-2020,Centre,13,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_18-05-2020.pdf
18-05-2020,Nippes,7,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_18-05-2020.pdf
18-05-2020,Nord-Ouest,10,3,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_18-05-2020.pdf
18-05-2020,Sud,5,2,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_18-05-2020.pdf
18-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_18-05-2020.pdf
17-05-2020,Ouest,396,43,12,1,3.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Artibonite,52,15,5,0,9.6%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Nord,21,5,1,0,4.8%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Nord-Est,19,7,2,0,10.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Sud-Est,14,2,1,0,7.1%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Centre,12,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Nippes,7,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Nord-Ouest,7,4,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Sud,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
17-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_17-05-2020.pdf
16-05-2020,Ouest,353,87,11,0,3.1%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Artibonite,37,2,5,0,13.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Nord,16,0,1,0,6.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Sud-Est,12,3,1,0,8.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Centre,11,5,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Nippes,7,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Sud,3,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
16-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_16-05-2020.pdf
15-05-2020,Ouest,266,38,11,0,4.1%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Artibonite,35,8,5,0,14.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Sud-Est,9,1,1,0,11.1%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Nord,16,0,1,0,6.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Nippes,7,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Centre,6,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Sud,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
15-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_15_05_2020.pdf
14-05-2020,Ouest,228,30,11,0,4.8%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Artibonite,27,0,5,0,18.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Sud-Est,8,1,1,0,12.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Nord,16,6,1,0,6.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Nippes,7,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Centre,5,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Sud,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
14-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_14-05-2020.pdf
13-05-2020,Ouest,198,32,11,2,5.6%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Artibonite,27,0,5,0,18.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Sud-Est,7,0,1,0,14.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Nord,10,2,1,0,10.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Nippes,7,4,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Centre,5,1,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Sud,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
13-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_13-05-2020.pdf
12-05-2020,Ouest,166,15,9,0,5.4%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
12-05-2020,Artibonite,27,0,5,0,18.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
12-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
12-05-2020,Nord,8,0,1,0,12.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
